Epoch 79: duration loss = 0.386 | prior loss = 1.307 | diffusion loss = 0.114
Epoch 80: duration loss = 0.386 | prior loss = 1.306 | diffusion loss = 0.113
Epoch 81: duration loss = 0.385 | prior loss = 1.306 | diffusion loss = 0.115
Epoch 82: duration loss = 0.384 | prior loss = 1.306 | diffusion loss = 0.115
Epoch 83: duration loss = 0.383 | prior loss = 1.304 | diffusion loss = 0.115
Epoch 84: duration loss = 0.383 | prior loss = 1.303 | diffusion loss = 0.113
Epoch 85: duration loss = 0.383 | prior loss = 1.304 | diffusion loss = 0.112
Epoch 86: duration loss = 0.382 | prior loss = 1.304 | diffusion loss = 0.114
Epoch 87: duration loss = 0.381 | prior loss = 1.302 | diffusion loss = 0.114
Epoch 88: duration loss = 0.381 | prior loss = 1.303 | diffusion loss = 0.114
Epoch 89: duration loss = 0.380 | prior loss = 1.302 | diffusion loss = 0.111
Epoch 90: duration loss = 0.379 | prior loss = 1.301 | diffusion loss = 0.114
Epoch 91: duration loss = 0.379 | prior loss = 1.301 | diffusion loss = 0.113
Epoch 92: duration loss = 0.379 | prior loss = 1.300 | diffusion loss = 0.115
Epoch 93: duration loss = 0.379 | prior loss = 1.300 | diffusion loss = 0.118
Epoch 94: duration loss = 0.378 | prior loss = 1.299 | diffusion loss = 0.115
Epoch 95: duration loss = 0.378 | prior loss = 1.300 | diffusion loss = 0.115
Epoch 96: duration loss = 0.377 | prior loss = 1.298 | diffusion loss = 0.116
Epoch 97: duration loss = 0.376 | prior loss = 1.298 | diffusion loss = 0.117
Epoch 98: duration loss = 0.376 | prior loss = 1.298 | diffusion loss = 0.116
Epoch 99: duration loss = 0.375 | prior loss = 1.298 | diffusion loss = 0.112
Epoch 100: duration loss = 0.375 | prior loss = 1.296 | diffusion loss = 0.116
Epoch 101: duration loss = 0.375 | prior loss = 1.296 | diffusion loss = 0.116
Epoch 102: duration loss = 0.374 | prior loss = 1.295 | diffusion loss = 0.115
Epoch 103: duration loss = 0.374 | prior loss = 1.296 | diffusion loss = 0.116
Epoch 104: duration loss = 0.373 | prior loss = 1.295 | diffusion loss = 0.118
Epoch 105: duration loss = 0.373 | prior loss = 1.294 | diffusion loss = 0.115
Epoch 106: duration loss = 0.372 | prior loss = 1.294 | diffusion loss = 0.113
Epoch 107: duration loss = 0.372 | prior loss = 1.294 | diffusion loss = 0.113
Epoch 108: duration loss = 0.372 | prior loss = 1.294 | diffusion loss = 0.113
Epoch 109: duration loss = 0.371 | prior loss = 1.293 | diffusion loss = 0.112
Epoch 110: duration loss = 0.370 | prior loss = 1.293 | diffusion loss = 0.111
Epoch 111: duration loss = 0.370 | prior loss = 1.293 | diffusion loss = 0.114
Epoch 112: duration loss = 0.370 | prior loss = 1.291 | diffusion loss = 0.118
Epoch 113: duration loss = 0.369 | prior loss = 1.292 | diffusion loss = 0.111
Epoch 114: duration loss = 0.368 | prior loss = 1.292 | diffusion loss = 0.114
Epoch 115: duration loss = 0.368 | prior loss = 1.291 | diffusion loss = 0.113
Epoch 116: duration loss = 0.368 | prior loss = 1.290 | diffusion loss = 0.115
Epoch 117: duration loss = 0.367 | prior loss = 1.290 | diffusion loss = 0.114
Epoch 118: duration loss = 0.367 | prior loss = 1.290 | diffusion loss = 0.115
Epoch 119: duration loss = 0.366 | prior loss = 1.290 | diffusion loss = 0.112
Epoch 120: duration loss = 0.366 | prior loss = 1.289 | diffusion loss = 0.112
Epoch 121: duration loss = 0.365 | prior loss = 1.289 | diffusion loss = 0.113
Epoch 122: duration loss = 0.366 | prior loss = 1.289 | diffusion loss = 0.116
Epoch 123: duration loss = 0.364 | prior loss = 1.288 | diffusion loss = 0.112
Epoch 124: duration loss = 0.365 | prior loss = 1.288 | diffusion loss = 0.114
Epoch 125: duration loss = 0.364 | prior loss = 1.288 | diffusion loss = 0.113
Epoch 126: duration loss = 0.364 | prior loss = 1.287 | diffusion loss = 0.112
Epoch 127: duration loss = 0.365 | prior loss = 1.287 | diffusion loss = 0.114
Epoch 128: duration loss = 0.364 | prior loss = 1.287 | diffusion loss = 0.114
Epoch 129: duration loss = 0.363 | prior loss = 1.286 | diffusion loss = 0.110
Epoch 130: duration loss = 0.362 | prior loss = 1.286 | diffusion loss = 0.116
Epoch 131: duration loss = 0.362 | prior loss = 1.286 | diffusion loss = 0.116
Epoch 132: duration loss = 0.362 | prior loss = 1.286 | diffusion loss = 0.112
Epoch 133: duration loss = 0.362 | prior loss = 1.285 | diffusion loss = 0.114
Epoch 134: duration loss = 0.361 | prior loss = 1.285 | diffusion loss = 0.115
Epoch 135: duration loss = 0.361 | prior loss = 1.284 | diffusion loss = 0.112
Epoch 136: duration loss = 0.361 | prior loss = 1.284 | diffusion loss = 0.116
Epoch 137: duration loss = 0.360 | prior loss = 1.284 | diffusion loss = 0.114
Epoch 138: duration loss = 0.360 | prior loss = 1.284 | diffusion loss = 0.113
Epoch 139: duration loss = 0.360 | prior loss = 1.284 | diffusion loss = 0.112
Epoch 140: duration loss = 0.360 | prior loss = 1.283 | diffusion loss = 0.112
Epoch 141: duration loss = 0.359 | prior loss = 1.282 | diffusion loss = 0.113
Epoch 142: duration loss = 0.359 | prior loss = 1.283 | diffusion loss = 0.111
Epoch 143: duration loss = 0.359 | prior loss = 1.282 | diffusion loss = 0.113
Epoch 144: duration loss = 0.358 | prior loss = 1.282 | diffusion loss = 0.115
Epoch 145: duration loss = 0.358 | prior loss = 1.281 | diffusion loss = 0.113
Epoch 146: duration loss = 0.358 | prior loss = 1.281 | diffusion loss = 0.112
